,text,label
0,I wondered if you were taking any special precautions in your neighborhood? /,0
1,How about you? /,0
2,Were you --,0
3,"{C So, } has it been getting worse that you noticed, or --",0
4,"{F oh, } really? /",0
5,{C So } it's the rambler style. /,0
6,"[ Have you d-, + have you done ] this before? /",0
7,The T I? /,0
8,"{F Oh, } have you? /",0
9,Are you in Texas? /,0
10,"{F Oh, } really? /",0
11,Is this your first time? /,0
12,"{D So, } what do you think about a  year or two of public service? /",0
13,"I probably would have done, {D you know, } just like,  [ [ is that, + is this, ] + is that ] the Mormon church,",0
14,Why?  /,1
15,"Are you a Vietnam veteran, Dudley?  <Music>. /",0
16,No? /,0
17,Do you have family who were in the Vietnam War? /,0
18,"{C So } he was too old,  /",0
19,"{C and } you were too young, right? /",0
20,Do you know some folks who have been there? /,0
21,How did it influence them? /,0
22,"{F Uh, } what about long lasting effects on him?  /",0
23,Has he still suffering from those problems? /,0
24,"[ He was, + {F uh, } he was ] a Vietnam war veteran. /",0
25,You are talking about P O W -s --,0
26,Cambodia? /,0
27,What world war do you think they  found the experience for that? /,0
28,Don't you think they learned from the mistakes in Vietnam? /,0
29,"{D Well, } Dudley, have we pretty  well discussed the subject? /",0
30,are you there? /,0
31,How about yourself? /,0
32,"[ Did you ev-, +",0
33,"what do you like, brookies or, {F uh, } rainbows  /",0
34,"Do you fly fish, or are those streams too small? /",0
35,What's the season?  /,0
36,"April to [ Sep-, + October  ] or something like  that? /",0
37,-- what's a license cost? /,0
38,"{F Oh, } is that right? /",0
39,Are there many? /,0
40,what do you read?   /,0
41,What is your favorite? /,0
42,"(( Figures )) .  What, like those, {F uh, } magazines you get through the mail? /",0
43,"What about like those TIME books that they put out about, {F uh, } {F uh, } {F oh, } ancient discoveries?  /",0
44,"how they found out {D like } that, {F uh, } ancient man, [ per-, + performed, ] {F uh, } brain surgery successfully?  /",0
45,"{F Oh, } you --",0
46,You are what kind of buff? /,0
47,You are an --,0
48,Are you an engineer for T I? /,0
49,"{F Oh, } really? /",0
50,"{F Oh, } you like science things?  /",0
51,"What is that, {F uh, } one that is on T V?  /",0
52,did it say anything about newspapers?  /,0
53,"{C But, } {F uh, }",0
54,With everything --,0
55,"{D Well, } I know at T I they have most of the stuff on the printout, don't they?  {E I mean, } on the computer where you can read the daily --",0
56,What is his name? /,0
57,<Child_talking> {C So } that is all it was?  /,0
58,He was just having an affair on his wife? /,0
59,"{D So, } what is your latest experience with painting? /",0
60,Isn't that amazing? /,0
61,Hopefully you're a basketball fan. /,0
62,Hopefully you're a basketball fan. /,0
63,"Is that all they're going to have to make money, {D you know. } /",1
64,You went to Indiana University? /,0
65,"[ You're, + you're  ] a T I -er up in Sherman? /",0
66,Are you from Dallas area? /,0
67,"I guess football is the big sport down here, isn't it. /",0
68,"[ You heard of, +",0
69,Is that right?  /,0
70,is he one? /,0
71,Tarpley? /,0
72,I don't know if you've down to the sports for Reunion Arena. - /,0
73,do you do garden work? /,0
74,"{F Oh, } where do you go to college? /",0
75,Where's that? /,0
76,"{D Well, } [ do you, + {D you know, } do you  ] do gardening at home? /",0
77,you know what day lilies are? /,0
78,"Are they, {D well, }  - /",0
79,do they just come out in the morning then go -- /,0
80,"{C And then } it's done, completely done. /",0
81,"What all things do you plant in it,  /",0
82,{C or } do you like to plant in it? /,0
83,do your cucumbers come good? /,0
84,Have you ever had them just come up in different places? /,0
85,"<Sniffing> Do you think that the quality, {F um } --",0
86,"[ what, + what  ] major changes have affected your life? /",0
87,"You mean yourself, or women in general? /",0
88,{C But } for how many years? /,0
89,what else? /,0
90,"how do you just, -/",0
91,"[ Are, + are ] you a T I-er? /",0
92,"{C But, } are you at T I? /",0
93,{C So } you have to do the random drug testing. /,0
94,"How many times have you called,  /",0
95,"As far as the number of drug users, you mean? /",0
96,"{F Huh. }    Do they have a policy where they counsel people if they come back positive,  /",0
97,"{F Oh, } you know a lot about that. /",0
98,Do you have children? /,0
99,You still there? /,0
100,{D So } you've done this ten times? /,0
101,Did you get the booklet on how to get the  gifts and all? /,0
102,{D Well } what kind of cash?  /,0
103,Was it five dollars a call? /,0
104,"do you have an opinion on that, on the U S R? /",0
105,Do have air conditioning in your car  /,0
106,"{C so } you're going do I want [ a di-, + a ] green lawn or a muddy feet <laughter>,",1
107,"because Houston was really hurricane alley, wasn't it, /",0
108,weren't there a lot of hurricanes there? /,0
109,Keep the weather radio close by and stuff like that? /,0
110,"{D Well, } have you been here during the real heavy, heavy rains?  /",0
111,"Talk about asking for trouble, {F huh? } /",1
112,# <Breathing> Thomas? # /,0
113,"Doesn't Wisconsin have a, {F uh, } state, {F uh, } Medicare program or # health program? # /",0
114,You know what I'm saying?  /,1
115,"{D Well, } what kind of garden do you have? /",0
116,Do you have a lawn? /,0
117,{C So } what do you do up there? /,0
118,"What about tomatoes,  /",0
119,aren't they pretty hardy? /,0
120,"{F Oh, } are you really? /",0
121,Are you strict vegetarians? /,0
122,How long have you been doing this? /,0
123,Do you feel that it has improved the way you feel? /,0
124,Do you think? /,0
125,Is that right? /,0
126,what's it called?  /,0
127,# Why? # /,0
128,{C So } you would have a little more trouble when you were looking for a dining area than what [ most -- +,0
129,"{C So } what do you look for when you, -/",0
130,"[ Do you normally, + when you're traveling, do  ] you look for places that's established, [ that, + that  ] you've been to before {C or } --",0
131,As opposed to {D like } a cafeteria --,0
132,"if you're going to go out to eat, why not have the whole service,",1
133,"Why not get the whole, - /",1
134,"Light menu, you mean like cooked light or, -/",0
135,Do you? /,0
136,Chinese? /,0
137,"{D well, } [ what, + {F uh, } what ] do you all do for camping? /",0
138,Where do you go? /,0
139,"Around Gatlinburg, or --",0
140,"{D Well, } {D now } did you all --",0
141,"{C and } did it get real cold at night,  /",0
142,"{F Oh, } do you? /",0
143,How are you? /,0
144,Really? /,0
145,<Laughter> Which one? /,0
146,"{D Well, } you ready for New Year's Eve? /",0
147,What was your name again? /,0
148,"[ What, + {F uh } --",0
149,"[ To, + to ] compensate --",0
150,"{C so }  {D actually } that is a benefit, {F uh, } /",0
151,Could you change that as you felt like it  /,0
152,"{C And, } {F uh, } what other benefits do you  think are important? /",0
153,<Clicking>  Are you there? /,0
154,"are you in your thirties,  /",0
155,"What's it like to be twenty-three as a woman  today,  /",0
156,Do you know what I'm saying? /,0
157,"# [ What do you, + what # do you ] that you're, -/",0
158,#  {F Oh }  you are? # /,0
159,# Did you go # to Baylor by any chance? /,0
160,"{C or } you in radio, or television or news. /",0
161,"{C So, } what do you think of our trial system? <noise>. /",0
162,Have you noticed that? /,0
163,Leaving it up to the judge? /,0
164,"what  [ about, + {D you know, } about  ] being unanimous.  /",1
165,Does it have to be unanimous? /,0
166,or do they. /,0
167,"{D you know, } how do you decide.  /",1
168,how do you decide what number of people have to say that. -/,1
169,"{D Well } you've seen like these T V movies, /",0
170,"{C but } if they have new evidence, [ can they, + can they  ] retry,  /",0
171,"{C or } can they, {D you know, } bring you back. /",0
172,about that woman. /,0
173,do you know what I mean. /,1
174,Do you vote?  <laughter>. /,0
175,do you vote? /,0
176,"{D now } was that [ the, {F um, } {F uh, } green, + ] {F oh, }  {A I don't know, } some guy that was attacking women jogging?  /",0
177,{D Well } did they have a T V movie about him? /,0
178,"{D Well, } {D well, } how was he killing the women. /",0
179,"Were they jogging on a, -/",0
180,Did they have a trial by jury for him. /,0
181,Can you think of anything else that's happened recently? /,0
182,do you have any children? /,0
183,"{F Oh, } did you? /",0
184,Where did you go? /,0
185,"{F Huh, } {F uh, } [ would you, + {E I mean, } if you had children, would you  ] want them to go to a certain place  /",0
186,Is that why you picked the school you did  /,0
187,{C So } you lived there at school then? /,0
188,You lived there at school. /,0
189,"{C So, } {F uh, } are you working somewhere then  /",0
190,where are you going to move to? /,0
191,"{F Oh, } are you? /",0
192,Do you have friends there  /,0
193,"{C So, } does he work for a company down there? /",0
194,"{D Well, } [ did you, + {F uh, } since you were paid for school yourself, do you  ] think you had a different outlook on it, like your grades and things like  that? /",0
195,"{C and, } {F uh, } what did you do about your last auto repair,  /",0
196,"{D Well, } that's still not enough for a total, is it. /",0
197,"{F Oh, } {C and } do you buy one every two years? /",0
198,"Did this car have one of these expanding balloons,  /",0
199,Did that help you? /,0
200,They didn't go off. /,0
201,"{C But } you were hit in the side, weren't you? /",0
202,"How about you, Larry? /",0
203,"{C But, } {D anyhow, } {F uh, } {D now, } are you going to buy this next car  /",0
204,Are you? /,0
205,"isn't it too large for normal town driving, finding parking places --",0
206,# Is that right? # /,0
207,"[ Do you, + do you ] feel that, {F uh, } -/",0
208,"I guess you heard [ our conv-, + our topic ] for today was clothing? /",0
209,How do you dress for work? /,0
210,"{F Uh, } {F uh, } do you find that, {F uh, } on the average do people give {F uh, } more credibility or less credibility [ to a professional, + {F uh, } to professionally ] dressed # individual. # /",0
211,"{F Oh, } really? /",0
212,Even the farmers. /,0
213,if you had the choice would you wear a tie or not? /,0
214,What about season to season.  /,0
215,I guess your dress changes. /,0
216,do we just go ahead? /,0
217,Do you want to start? /,0
218,"{F Oh, } did you get to go to Hawaii? /",0
219,"It's lovely, isn't it? /",0
220,What islands did you go to? /,0
221,"<laughter>, was it? /",0
222,"{F Oh, } really? /",0
223,Did you go there? /,0
224,Have you? /,0
225,"{F Oh, } did you? /",0
226,Were you? /,0
227,"{F Oh, } have you? /",0
228,You haven't been to Spain? /,0
229,Were you? /,0
230,How old were you when you left? /,0
231,Have you ever got to go back? /,0
232,Would you?  /,0
233,Would you? /,0
234,"{D Now, } have you been to Yellowstone? /",0
235,Have you? /,0
236,"{D Well, } do you like to camp, those kind of trips? /",0
237,"{F Oh, } you like the motels? /",0
238,"{F Oh, } did you? /",0
239,Do you have a personal computer? /,0
240,"[ What do you, + what do you ] think about them? /",0
241,"[ [ Can't you, + can't you put, ] +",1
242,How does the word wrap work on that?  /,0
