,text,label
0,"Archie, the ONLY issue that gays don't have a majority support for gay equality on is gay marriage. That's it. Laws against sodomy? Majority oppose them. Laws against gay adoption? Majority oppose them. Laws against gays in the military? Majority oppos",True
1,"No, not really. All that is different is the number of steps.  What is YOUR definition of 'macro-evoution'? Is it speciation? Or is it a brand new genus?  We have observed speciation, where new species happened.",True
2,"It's ashame that everyone keeps looking for the judiciary to do the legislature's work. When will the people press Congress to take up abortion? It is the job of Congress after all, to address the issues desired by it's constituents.",True
3,"Almost? Usually, that is true, and it involves selection between populations. However, there are often times when some of a population is better able to survive. Those times, selection occurs within a population.",True
4,And so have animals. Plants have been wiped out in the great extinctions too. [quote]Carbon dioxide producing animals could even feed themselves with their own breathe![/quot] Huh? You produce carbon dioxide. How do you propose to feed yourself with tha,True
5,"Would you care to explain exactly what was lacking? For only a few minutes, that video was profoundly extensive, showing almost precisely how our eyes would have evolved.",True
6,"I believe this is wrong. But this is a private company, and if they want to discriminate based on religion, that's fine, just as a church may outlaw atheists. Do I agree with it? No. But does it have to do with our debate? No. This is about the science cl",True
7,"Oh, undoubtedly - but the offspring aren't inheriting traits as such are they? They're just suffering the same symptoms of malnutrition as their parents, except that for them it's happening in vitro so they exhibit the effects from birth. That's why it's ",True
8,"Are you suggesting that if abortion were banned that abortion clinics that are already done will flood the US? Please, get real here. People would probably go across the bordor and get abortions there...you might have drugs from canada come over that caus",True
9,And can you please tell me the difference between nonrandom variation and directed variation? I'd also like a link to verify what you say. Thank you. God Bless!,True
10,"Of course not, but I fail to see how atheists are using science as its god, can you please explain that to me directly? Evolution doesn't refute god at all. In fact with evolution, intelligent design is entirely possible. But that still doesn't make it sc",True
11,"But the question is Can you prove your belief system is true? And all you've done is spew hate for religion but haven't even tried to actually answer the question. And ask yourself this. If the idea of God is such a man made plague, then God doesn't even ",True
12,"Well by the Flood, I assume you are refering to the description given in Genesis?  Fossils we find today have been attributed to a remarkable variety of environmental settings that allowed them to be preserved. Also, you seem to be refering to the prese",True
13,"Yes. But if you rephrased the question as ""Does evil exist independent of an observer with a cohesive values system?"", I'd say ""no"". That an event is regarded as evil requires a values system, but not necessarily theism.",True
14,"Who has ever made this claim? Please, show me, because I have never once heard it. Of course most individuals are physically capable of producing offspring. Natural selection is dependant upon which individuals will pass their genetic information on to th",True
15,You said who would it hurt? I'm asking you who would it hurt if there was prostituion? Just to help you think that there are injuries that are proximate to everyone.,True
16,"What if the surgery for transferring the embryo/fetus would be equal in difficulty, risk, etc. to having an abortion? There would then be no extra physical cost incurred in keeping the embryo/fetus alive. What would be the reasons, in such a case, to keep",True
17,You asked where the line should be drawn in regards to weapons?  How about where ownership and use of weapons does not violate the rights of others.   Before you respons think about it. Do anything you want. If I don't violate anyone then what is the ,True
18,So? There are other articles and books that do. Is your link the ultimate authority on the cause of crime?,True
19,"So everyone thinks that ""evolutionists"" should seize power or something? If that is true, it is because evolution is very widely accepted.",True
20,"Actually, this data point is perfectly meaningless. NONE of the other information (or the conclusions) presented in this talk require ""26"". If we made it 260, does it change ANY of the other conclusions? No.  A failure to recognize non-sequitur data t",True
21,"It's not that we pro life people don't care about womens rights it's that we care about the babies rights too. They won't do abortion after the 3rd month right? Well the baby is living, it has a heartbeat, it has nerves, eyes, and all that. I think it is",True
22,"It is not only supposedly ""junk DNA"" that was used for these kind of arguments. The vertebrate eye has been preached to be a bad design. Why? Why is it a bad design?  The human eye contain bona fide optical fibers to conduct light (nice illustration). B",True
23,"HA wouldnt you say someone who is really overweight actually has more of a problem with stress on their joints, muscels, heart, and bladder than a woman carrying a small child in her womb? Obesity can demand major scarifices in behavior and diet. Some of ",True
24,"Thanks Duo.  peddler, how about you actually address the points I put to you originally?  ""Off course, you might be trying to infer that because there are differences of opinion in the field of evolution makes the whole notion irrelevant. I disagree, ",True
25,"How about the individual's offspring? Is a ""subtract 10 years"" gene encoded in the genome just because of one marriage?Still no evidence.",True
26,"Do you have any evidence for that? And still, I don't know what you mean by kind.",True
27,"Socialism is a very broad category of political ideals, which particular form were you thinking of?  And just so you know, Fascism is not a form of socialism in any way. Socialism does not have oppressive governments. The purpose of socialism is to remo",True
28,"Really? Why? Bacteria don't need to see to exist. They don't depend on light to live. In fact, bacteria thrive in dark, moist areas. Why would natural selection determine this ability as being advantageous? If populations of bacteria with the ability to s",True
29,"How do we know anything for sure? We can't be certain of the Earth's age in billions of years, but we can use carbon dating to figure out it's older then 55,000 years, which refutes creationism.",True
30,"Rationalizing? I guess so, since I'm trying to explain why it's silly for it to be illegal. But, guess what, you are rationalizing why beer is legal. And you're SO WRONG about drinking beer for 50 years.  Drink enough beer to get a buzz and smoke enou",True
31,"So he ""overlooks"" plate tectonics twice? He's either ignorant or a liar. Some might say both. Knowing his other work as I do, I say both.",True
32,"And from this we are to infer that Leakey doubts human evolution? There is by now a huge variety of fossil hominids. If Leakey was admitting that it was difficult to be certain which were or were not directly ancestral to modern humans, this is no more th",True
33,"Yes, but how do you legally get it into international waters? Once there, where do you go? There aren't too many ports where ordinance is allowed. Since I am a law abiding citizen, where, other than international waters, may I legally have a gun?",True
34,"What else would you expect from the people who created a god in their own image?  Your thinking here is right, religion has a long history of being egocentric.",True
35,"Well, first, I did say ""The fact that you and I cannot understand this doesn't make it impossible."" Secondly, how is no god possible? Third, a person being 100% something and 100% something else isn't entirely impossible. There are people all over the wor",True
36,Well that was a good start. Are you planning on insulting everyone who replies to your post?  Of course it would be more difficult for criminals to get hold of guns if there were fewer of them around. It would also make it more difficult for children to,True
37,"Here's a question; which one split from the other? Which one is the ""new"" being? None of them are. If I get a cake and slice into two exact pieces, which one is the ""new"" slice? They are both equally new.",True
38,Evolution wasn't introduced until 1859. When did abortion become popular? The industrial revolution occurred in the 1800s. Maybe that was the cause of abortion's alleged popularity. Grover Cleveland was elected in the 1800s. Clearly he had something to,True
39,"Well, where do you get your beliefs about right and wrong from? I mean, I know that you have moral standards and are most likely an ethical person.   Sandycane does have a point in her previous message to you. It is just that I think that the main point",True
40,"So the initial murder wasn't enough to show ""that they are willing to commit acts of violence""? This makes absolutely no sense.",True
41,"Why can't you answer questions directly?  anyway, I support ct in passing civil unions or marriage lite as I like to see it, but It doesn't confer equality. If it is really equ8al than it would be marrige. Reason beinbg portablity ( irealize you think t",True
42,"One could easily say that the heart is when life begins, because the heart is what all living things have. However, where's the evidence? There is very little if any. Not to mention, it goes against the principle of biogenesis which says that humans only ",True
